categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"EFECTOS DEL EJERCICIO FÍSICO A NIVEL OSTEO MUSCULAR EN PACIENTES CON VENTILACIÓN MECÁNICA, UNA REVISIÓN DE LITERATURA¿ Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿UN ABORDAJE MULTIDICIPLINARIO EN PACIENTES HOSPITALIZADOS EN UCI POR COVID-19 CON SECUELAS CARDIOPULMONARES.UNA REFLEXIÓN.¿ Fundación Universitaria Maria Cano,2021
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿RELACIÓN DEL TIEMPO DE LA VENTILACIÓN MECÁNICA INVASIVA Y EJERCICIO FÍSICO EN UCI. REVISIÓN DE TEMA Fundación Universitaria Maria Cano,2021
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,EFECTIVIDAD DE LA ELECTROESTIMULACIÓN EN EL PACIENTE ADULTO VENTILADO EN UNIDAD DE CUIDADOS INTENSIVOS: UNA REVISION DE LA LITERATURA Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿CIGARRILLOS ELECTRÓNICOS Y SALUD PULMONAR. ESTADO DEL ARTE Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿Beneficio Del Ejercicio Terapéutico Pacientes En pacientes en la Unidad de Cuidados Intensivos Con Insuficiencia Respiratoria Aguda Y Ventilación Mecánica No Invasiva. Una Revisión . Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño de un protocolo de intervención fisioterapéutica Post ventilación mecánica y cuidado en casa. Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿EFECTIVIDAD DEL ENTRENAMIENTO DE LA MUSCULATURA RESPIRATORIA EN UNIDAD DE CUIDADOS INTENSIVOS EN EL PACIENTE CRITICAMENTE ENFERMO: REVISIÓN DE LITERATURA¿ Fundación Universitaria Maria Cano,2021
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"SECUELAS PULMONARES POST COVID-19, POST-VENTILACIÓN MECÁNICA. REVISIÓN BIBLIOGRÁFICA Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,ENTRENAMIENTO MUSCULAR RESPIRATORIO EN PACIENTES CON VENTILACIÓN MECÁNICA. UNA REVISIÓN DE LA LITERATURA Fundación Universitaria Maria Cano,2021
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Efectividad de las intervenciones Fisioterapéuticas en la calidad de vida y el control de síntomas de los pacientes con cáncer avanzado en cuidados paliativos. Una Revisión Sistemática Universidad De Valladolid,2018
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Efectos De La Equinoterapia Sobre La Función Pulmonar Y Motora En Pacientes Con Patologías Neuromusculares. Fundación Universitaria Maria Cano,2019
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Rol del fisioterapeuta en la unidad de cuidados intensivos: una revisión sistemática Fundación Universitaria Maria Cano,2019
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Estado del arte: motivación en la práctica de actividad física y deportiva Fundación Universitaria Maria Cano,2019
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Efectividad De La Electroestimulación En El Paciente Adulto Ventilado En Unidad De Cuidados Intensivos: Una Revisión De La Literatura Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Beneficio Del Ejercicio Terapéutico Pacientes En Uci u Hospitalización Con Insuficiencia Respiratoria Aguda Y Ventilación Mecánica No Invasiva. Una Revisión Bibliográfica Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,"Efectividad de la ventilación mecánica no invasiva en la enfermedad por Covid-19, Una revisión de la Literatura Fundación Universitaria Maria Cano",2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,¿Disfunción Sexual Y El Cáncer En Mujeres Con Cáncer Ginecológico Y/O De Mama. Fundación Universitaria Maria Cano,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Propiedades psicométricas del cuestionario mundial de actividad física Gpaq en población universitaria colombiana Fundación Universitaria Maria Cano,2019
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Trabajos de grado de pregrado,Formación del Recurso Humano,Efectividad de una intervención educativa en estilos de vida saludable en el conocimiento y comportamiento en pacientes post-rehabilitación cardíaca Fundación Universitaria Maria Cano,2018
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Evento científico,Divulgación Pública de la Ciencia,Congreso Internacional Wellfit 2020,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Levels of sedentary lifestyle in Colombian university population through the SIT-Q-7d-S questionnaire,2022
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Pilot Study of the Effectiveness of Repetitive Transcranial Magnetic Stimulation on Pain and Quality of Life in Patients with Chemotherapy-Induced Peripheral Neuropathic Pain,2024
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Effectiveness of an educational intervention on post cardiac rehabilitation patients for the knowledge and healthy life styles,2019
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Rehabilitación integral de piso pélvico en un paciente con cirugía de reasignación de sexo: a propósito de un caso,2023
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Efectos de la intervención fisioterapéutica en la calidad de vida y el control de síntomas de los pacientes con cáncer avanzado en cuidados paliativos. Una revisión sistemática,2020
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Effectiveness of Lymphovenular Anastomosis and Complex Decongestive Therapy for the Treatment of Lymphedema in Patients with Breast Cancer: A Systematic Review,2024
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,"Effectiveness of Physical Exercise on Frailty, Aerobic Capacity, and Functional Classification in Older Adults with Diabetes Mellitus",2026
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Telerehabilitation in older adults with cardiopulmonary diseases and multimorbidity: a randomized controlled clinical trial,2026
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Intervenciones centradas en el contexto frente a terapias motoras tradicionales en el desempeño ocupacional de niños con parálisis cerebral: revisión sistemática con metaanálisis,2026
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Perfil neuromuscular y déficits excéntricos como predictores multivariables de riesgo de lesión del ligamento cruzado anterior,2026
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Artículo,Nuevo Conocimiento,Effects of Virtual Reality Use on Children with Cerebral Palsy and Its Applications in Health: A Systematic Review,2025
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,PROPIEDADES PSICOMÉTRICAS DEL INSTRUMENTO AUTOINFORME DE MOTIVOS PARA LA PRÁCTICA DE EJERCICIO FÍSICO AMPEF,2024
Investigador Junior,Silvia Betancur Bedoya,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,EFECTIVIDAD DE LAS INTERVENCIONES BASADAS EN EJERCICIO PARA PACIENTES CON TRASTORNOS DE ANSIEDAD. UNA REVISIÓN SISTEMÁTICA,2024
