categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Software,Desarrollo Tecnológico e Innovación,PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Innovación de proceso o procedimiento,Desarrollo Tecnológico e Innovación,PLATAFORMA PARA LA GESTIÓN DE LA PLANEACIÓN ESTRATÉGICA PARA EL DEPARTAMENTO DE PLANEACIÓN DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Innovación de proceso o procedimiento,Desarrollo Tecnológico e Innovación,PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Innovación de proceso o procedimiento,Desarrollo Tecnológico e Innovación,GESTIÓN BASADA EN PROCESOS PARA LA DIRECCIÓN DE SOSTENIBILIDAD Y EDUCACIÓN PARA LA VIDA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Informe técnico,Divulgación Pública de la Ciencia,Herramienta de diagnóstico para la implementación de la norma ISO 9001:2015 integrada con la norma ISO 21001:2018 para el Departamento de Planeación e Internacionalización de la UNAC,2015
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Informe técnico,Divulgación Pública de la Ciencia,PRUEBA MINISTERIO,2016
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Concepto técnico,Desarrollo Tecnológico e Innovación,Herramienta de diagnóstico para la implementación de la norma ISO 9001:2015 integrada con la norma ISO 21001:2018 para el Departamento de Planeación e Internacionalización de la UNAC.,2020
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Implementación de espacios de aprendizaje en el Laboratorio Integral de Ingeniería Industrial de la UNAC; mediante la aplicación de la figura de proyectos integrador de la facultad de ingeniería,2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Propuesta de un marco de trabajo para IES sostenible basado en buenas prácticas y mediciones nacionales e internacionales.,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Sostenibilidad hacia el logro ODS,2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Camino hacia una universidad sostenible,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Diseño del laboratorio de ingeniería aplicada del programa de ingeniería industrial de la Corporación Universitaria Adventista ¿ UNAC; para las prácticas de laboratorio vinculadas al currículo.,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Semillero de Investigación OPTIMA,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Proyecto Institucional de Metodologías Activas,2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Diseño; implementación y certificación del Sistema de Gestión de Calidad según la norma ISO 9001:2015 en la Oficina de Planeación; Desarrollo e Internacionalización de la Corporación Universitaria Adventista; UNAC. (Fase de diagnóstico y diseño),2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,CARACTERIZACIÓN DEL DESARROLLO SOSTENIBLE A PARTIR DE LA ACTUACIÓN EN TRES ESCENARIOS,2017
